year,ratio,issue_price
2019,,272.0
2019,,1.45
2019,,12.06
2019,,4.34
2019,19:11,
2019,19:14,41.56
2019,,10.35
2019,19:0,
2019,,16.0
2019,,16.0
2019,19:2,
2019,19:6,
2019,,16.0
2019,,307.0
2019,,16.0
2019,,16.0
2019,,307.0
2019,,5.0
2019,,5.0
2019,,9.0
2019,,15.0
2019,19:10,14.0
2019,19:10,14.0
2019,19:3,
2019,,9.78
2019,,2.76
2019,,16.0
2019,,3.26
2019,,43.17
2019,,4.37
2019,,1.8
2019,,1.06
2019,2:13,175.0
2019,4:3,
2019,,9.25
2019,,7.08
2019,,16.0
2019,,7.14
2019,,4.61
2019,,5.0
2019,,2.5
2019,,150.87
2019,,210.02
2019,,207.53
2019,19:7,
2019,,54.0
2019,,205.64
2019,,1.5
2019,,1.0
2019,,160.0
2019,19:8,
2019,,26.27
2019,,11.06
2019,19:8,
2019,,26.27
2019,,11.06
2019,,290.0
2019,,450.0
2019,,989.0
2019,,305.0
2019,,152.16
2019,7:8,
2019,,16.0
2019,,54.0
2019,,1.1
2019,,1.0
2019,,803.0
2019,,298.0
2019,,11.24
2019,,11.65
2019,,88.77
2019,,196.8
2019,,5.4
2019,,11.7
2019,,16.0
2019,,111.0
2019,,24.18
2019,,16.0
2019,,9.0
2019,,334.0
2019,,16.0
2019,,806.0
2019,,41.0
2019,,16.0
2019,,13.0
2019,,16.0
2019,,16.0
2019,,16.0
2019,,16.0
2019,,2.34
2019,,16.0
2019,,3.38
2019,,16.13
2019,,16.13
2019,,100.0
2019,,16.0
2019,,8.9
2019,,544.54
2019,,37.37
2019,,2.22
2019,,1.57
2019,,528.0
2019,,1.57
2019,,16.0
2019,19:4,
2019,,1.0
2019,,3.42
2019,,5.62
2019,,3.26
2019,,1.17
2019,,5.3
2019,19:8,
2019,,16.0
2019,,4.0
2019,,567.0
2019,,2.1
2019,,3.0
2019,,100.0
2019,,16.0
2019,,4.0
2019,,567.0
2019,,2.1
2019,,3.0
2019,,4.7
2019,7:8,
2019,1:20,160.0
2019,,1.0
2019,,918.0
2019,,20.0
2019,,3.0
2019,,10.0
2019,,5.0
2019,,189.62
2019,,679.0
2019,,1.2
2019,,1.0
2019,,2017.0
2019,,8.0
2019,,1.04
2019,,15.0
2019,,9.3
2019,,16.0
2019,,6.0
2019,,5.0
2019,,4.0
2019,,4.0
2019,,2.0
2019,,160.0
2019,,16.0
2019,,16.0
2019,,16.0
2019,,16.0
2019,,10.0
2019,,47.0
2019,,784.0
2019,,2014.0
2019,,3.0
2019,,53.0
2019,,54.0
2019,,6.0
2019,,50.0
2019,,3.0
2019,,2014.0
2019,,784.0
2019,,20.0
2019,,3.0
2019,,10.0
2019,,5.0
2019,,38.2
2019,,87.18
2019,,450.0
2019,,357.0
2019,,817.0
2019,,1.09
2019,,12.06
2019,,4.34
2019,,16.0
2019,,37.37
2019,,11.7
2019,,10.0
2019,,25.0
2019,,16.0
2019,,1.57
2019,,16.0
2019,,16.0
2019,,3.3
2019,,145.0
2019,,14.1
2019,,15.0
2019,,14.1
2019,,16.0
2019,,16.0
2019,,16.0
2019,,16.0
2019,,16.0
2019,,16.0
2019,,128.0
2019,,38.2
